ds,SALES,yearly,trend,monthly,weekly,holidays,PLA_AD_SPEND_PLA,REDEMPTION_COST_LOYAL_CUSTOMER_MAILER
2021-08-07,27491612.960014246,-8644554.679187978,33240322.084375866,-849551.4344788643,2722008.18830644,0.0,476.33700600000003,0.0
2021-08-08,29814973.600019604,-8573923.359770851,33233981.288389597,-611332.9143723004,1785961.8869234123,0.0,392.43127,0.0
2021-08-09,26944816.480012782,-8505697.76820973,33227640.49240332,-346539.4738261017,-1184010.5200976003,0.0,513.343108,0.0
2021-08-10,25725051.04000953,-8440214.51933778,33221299.696417045,228781.6256331574,-1221436.4715677944,0.0,506.13323399999996,0.0
2021-08-11,24738137.600006122,-8377759.585800979,33214958.90043077,1226750.5105007624,-1890783.965563663,0.0,507.348784,0.0
2021-08-12,24388162.240007907,-8318573.015699008,33208618.1044445,2383165.9964136207,-1615322.9197593257,0.0,501.06534600000003,0.0
2021-08-13,25607850.400009114,-8262853.630750633,33202277.30845823,3179031.610590543,1403583.801757591,0.0,451.553612,0.0
2021-08-14,27532144.480016805,-8210763.23882653,33195936.512471963,3205947.7003352726,2722008.188307275,0.0,442.68499599999996,0.0
2021-08-15,31324240.960023697,-8162429.936442096,33189595.716485687,2479474.2594500263,1785961.8869322366,0.0,463.372252,0.0
2021-08-16,26945287.52001216,-8117950.138514684,33197229.970706478,1447054.3761555448,-1184010.5200996306,0.0,445.543942,0.0
2021-08-17,26708409.60001129,-8077389.051746803,33204864.224927265,689452.2145990374,-1221436.4715684515,0.0,453.6554279999999,0.0
2021-08-18,26302248.000011995,-8040779.401227574,33212498.479148056,551856.3912544921,-1890783.965561478,0.0,461.39700799999997,0.0
2021-08-19,25660974.8800111,-8008118.3234707005,33220132.73336884,967849.098593762,-1615322.9197587683,0.0,162.14821999999998,0.0
2021-08-20,25963905.120011106,-7979362.448808408,33227766.987589628,1559240.0472036968,1403583.8017583585,0.0,143.65884599999998,0.0
2021-08-21,28100167.200016472,-7954421.307476984,33235401.24181042,1885407.6096550445,2722008.1883057626,0.0,143.389748,0.0
2021-08-22,31125300.160022307,-7933149.302036285,33243035.49603121,1652612.481098511,1785961.8869303714,0.0,143.32526000000001,0.0
2021-08-23,26563336.64001035,-7915336.589573658,33250669.750252,793239.9345682861,-1184010.520098993,0.0,144.016202,0.0
2021-08-24,24664629.60000425,-7900699.305937248,33258304.00447279,-545599.7606891241,-1221436.4715691088,0.0,111.35082799999999,0.0
2021-08-25,23834487.839998823,-7888869.637160358,33265938.25869358,-2036335.8673089144,-1890783.9655638856,0.0,133.7,0.0
2021-08-26,23646222.71999984,-7879386.2967538675,33273572.512914363,-3230704.463798879,-1615322.9197645166,0.0,137.34,0.0
2021-08-27,25219971.03999598,-7871685.998956124,33281206.767135154,-3699355.890429781,1403583.8017591257,0.0,137.70000000000005,0.0
2021-08-28,25733706.399995007,-7865096.525295538,33288841.021355946,-3247675.3958207336,2722008.1883065985,0.0,84.47999999999998,0.0
2021-08-29,26604221.439995617,-7858831.963880487,33296475.275576733,-2083336.045370528,1785961.886928321,0.0,145.92,0.0
2021-08-30,25018277.599997714,-7851990.657468239,33304109.52979752,-771206.3819356429,-1184010.5201010234,0.0,94.24,0.0
2021-08-31,26559126.71999578,-7843556.328290112,33311743.784018304,62343.29603590697,-1221436.4715675472,0.0,137.49999999999997,4.0
2021-09-01,25639605.119988967,-7832402.7567008305,33319378.03823909,103708.57005314494,-1890783.9655609657,0.0,209.22000000000003,54.0
2021-09-02,24357905.27999246,-7817302.279361682,33327012.292459887,-468557.5301857718,-1615322.9197613776,0.0,63.16,82.0
2021-09-03,27086014.399990078,-7796938.244506411,33334646.54668068,-1146517.852126408,1403583.801763869,0.0,63.69999999999999,144.0
2021-09-04,25809109.599989563,-7769921.420917913,33342280.800901465,-1475790.3058471603,2722008.188306434,0.0,63.849500000000006,150.0
2021-09-05,22045187.199993692,-7734810.20839083,33349915.05512225,-1353779.0807421356,1785961.886926271,0.0,67.21999999999998,122.0
2021-09-06,18793333.11999799,-7690134.345860967,33357549.30934304,-1011143.0181790616,-1184010.520096212,1433738.1344790251,69.3,134.0
