ds,SALES,yearly,trend,monthly,weekly,holidays,KPM_COST_EMOD,PLA_AD_SPEND_PLA,TOA_AD_SPEND_TOA
2021-07-19,14368633.59999985,1260247.5160703557,13873975.832917908,209043.82526957412,-523123.7428224733,0.0,0.0,0.0,0.0
2021-07-20,13962512.479999548,1256219.359225033,13882179.844879037,173957.8528932443,-688841.1791696779,0.0,0.0,0.0,0.0
2021-07-21,10893068.639999688,1240433.716032413,13890383.856840167,187509.7361169262,-640724.5174742356,0.0,0.0,0.0,0.0
2021-07-22,11511496.319999536,1213199.567078084,13898587.868801296,217256.02797343495,-113948.68866604076,0.0,0.0,0.0,0.0
2021-07-23,12303042.239999814,1175057.0520809896,13906791.880762424,202509.82727760615,572969.0234927254,0.0,0.0,0.0,0.0
2021-07-24,12218516.319999728,1126763.8591840763,13914995.892723557,80242.85697362485,680827.7168527129,0.0,0.0,0.0,0.0
2021-07-25,12521913.920000354,1069275.6872330827,13923199.904684683,-170787.03321414828,712841.387791692,0.0,0.0,0.0,0.0
2021-07-26,10777148.640000014,1003721.3427879638,13931403.916645814,-495443.8690289863,-523123.74282346905,0.0,0.0,0.0,0.0
2021-07-27,11014431.360000022,931373.1967255896,13939607.928606946,-771509.3673834758,-688841.1791709834,0.0,0.0,0.0,0.0
2021-07-28,12008520.799997548,853613.8666863588,13947811.940568076,-872161.3562427481,-640724.5174749357,0.0,0.0,0.0,0.0
2021-07-29,13619904.479996236,771900.1068444592,13956015.952529203,-748080.1343073491,-113948.68866733708,0.0,0.0,0.0,0.0
2021-07-30,13681294.239997262,687724.9718635381,13964219.964490334,-470660.179092178,572969.0234911755,0.0,0.0,0.0,0.0
2021-07-31,13446388.79999788,602579.3747394574,13972423.976451464,-197477.04528418515,680827.7168526291,0.0,0.0,0.0,0.0
2021-08-01,14177744.63999725,517914.1766899045,13980627.988412594,-76186.86875216388,712841.3877911816,0.0,0.0,0.0,599.6480000000001
2021-08-02,12569146.71999867,435103.9307531616,13988832.000373725,-151464.51158977655,-523123.7428234476,0.0,0.0,0.0,442.596
2021-08-03,12411377.759998018,355413.34955530264,13997036.012334852,-340770.7017386916,-688841.1791702504,0.0,0.0,0.0,304.47200000000004
2021-08-04,12342311.519998744,279967.48337402416,14005240.024295984,-495045.4843245957,-640724.5174729804,0.0,0.0,0.0,394.716
2021-08-05,13471655.679997234,209726.479571732,14013444.036257112,-498290.7475225797,-113948.68866588634,0.0,0.0,0.0,373.0999999999999
2021-08-06,14183783.51999841,145465.65220173856,14021648.04821824,-334475.9275335373,572969.0234918385,0.0,0.0,0.0,744.5203199999999
2021-08-07,14637490.719998153,87761.42538150678,14029852.060179371,-79906.1382516298,680827.7168525455,0.0,0.0,0.0,1064.4704900000002
2021-08-08,14810623.679997798,36983.53095617307,14038056.0721405,162420.02465364517,712841.3877905683,0.0,0.0,0.0,1131.93066
