ds,SALES,yearly,trend,monthly,weekly,holidays,KPM_COST_EMOD,PLA_AD_SPEND_PLA,TOA_AD_SPEND_TOA,REDEMPTION_COST_LOYAL_CUSTOMER_MAILER,REDEMPTION_COST_MY_MAGAZINE,TRADE_COST_TRADE_TPR_DISPLAY,TRADE_COST_TRADE_TPR_FEATURE,TRADE_COST_TRADE_TPR_FEATURE_DISPLAY,TRADE_COST_TRADE_TPRONLY
2021-11-09,148407411.35989374,-8555234.460823117,195416655.931958,-8418697.008207316,-25645170.26677769,0.0,0.0,3260.4200000000005,1298.584,9575.485,0.0,71.63999999999999,0.0,0.0,697.51
2021-11-10,166613524.45000798,-9235906.784782516,195422906.02283016,-4709343.077726331,-23077974.78346721,0.0,0.0,3215.72,1346.3239999999998,11472.305,0.0,7768.259999999999,1277.92,812.42,21808.929999999997
2021-11-11,179648679.7300022,-9871266.090559768,195429156.11370227,-1313354.0591708154,-19345711.806386776,0.0,0.0,3182.948748999999,1351.6720000000003,11196.375,0.0,8403.78,1291.15,855.77,23037.86
2021-11-12,185828611.97001,-10435212.058491116,195435406.20457447,359268.681830519,26582825.88588285,0.0,0.0,3207.11,1321.4879999999996,14525.5,0.0,9039.14,1546.93,980.0,24808.37
2021-11-13,205331253.94999856,-10906657.815837083,195441656.2954466,1937071.870549005,36253865.72218974,0.0,0.0,3214.09,1343.8600000000004,14630.125,0.0,10045.689999999999,1583.19,1027.04,27373.28
2021-11-14,231779405.7099794,-11270151.943456609,195447906.3863187,6265092.78389734,24965511.665505104,0.0,0.0,3213.5154230000003,1365.504,15268.805,0.0,11395.94,1758.61,1172.57,29287.51
2021-11-15,187628166.91999,-11516303.700272616,195454156.4771909,13805014.178876713,-19733346.416848995,0.0,0.0,3175.902677,1359.7640000000004,11949.79,3.75,9154.38,1347.01,896.21,24160.65
2021-11-16,173739114.25999475,-11642001.738568377,195460406.56806305,21151257.359228063,-25645170.26678949,0.0,0.0,3219.6287959999995,1256.0520000000001,10252.155,22.5,8193.48,1303.4,970.63,23053.079999999994
2021-11-17,174262479.9699841,-11650422.925118124,195466656.6589352,23606848.83725482,-23077974.78345481,0.0,0.0,3199.911175999999,1358.8400000000001,11345.875,83.75,9975.41,0.0,0.0,24388.610000000004
2021-11-18,180988347.96999276,-11550834.24868626,195472906.74980736,19617521.21606121,-19345711.80641215,0.0,0.0,3166.88,1350.664,12056.0,185.0,10448.689999999999,0.0,0.0,25344.530000000002
2021-11-19,209760517.48996973,-11358196.998369548,195479156.84067947,12682575.72715231,26582825.885898907,0.0,0.0,3198.032097999999,1358.1119999999999,13275.46,298.31666666666666,12331.740000000002,0.0,0.0,29784.84999999999
2021-11-20,229011566.33995703,-11092588.25579696,195485406.9315516,8507778.59577381,36253865.72219082,0.0,0.0,986.2300000000002,713.664,11953.75,348.75,13781.400000000001,0.0,0.0,32211.250000000004
2021-11-21,244819299.6899413,-10778460.090364914,195491657.0224238,9748998.288235871,24965511.665496696,0.0,0.0,3213.093493,1367.744,11126.305,468.75,14952.22,0.0,0.0,34014.520000000004
