ds,SALES,yearly,trend,monthly,weekly,holidays,KPM_COST_EMOD,PLA_AD_SPEND_PLA,TOA_AD_SPEND_TOA,REDEMPTION_COST_LOYAL_CUSTOMER_MAILER,REDEMPTION_COST_MY_MAGAZINE
2021-07-16,13923342.56000029,-2329074.7770359423,11553732.64465962,-1220655.1632851078,951556.2990967628,0.0,0.0,245.18215000000004,0.0,0.0,0.0
2021-07-17,14885173.120000286,-2600579.037926393,11553447.470564889,-1066175.3229369866,2269673.8251722017,0.0,0.0,246.37716600000002,0.0,0.0,0.0
2021-07-18,15764866.07999996,-2833795.144131818,11553162.29647016,-326916.0863566269,2657445.077357184,0.0,0.0,256.645096,0.0,0.0,0.0
2021-07-19,12470103.200000873,-3023290.0436692717,11552877.12237543,625113.7639379709,-833302.8633816383,0.0,0.0,253.579774,0.0,0.0,0.0
2021-07-20,11277084.000000652,-3164573.963928289,11552591.9482807,1185765.2606880716,-1761398.5412197823,0.0,0.0,256.753642,0.0,0.0,0.0
2021-07-21,8226290.400000286,-3254185.864162855,11552306.774185972,1040205.431774202,-1873894.531512129,0.0,0.0,243.14063999999996,0.0,0.0,0.0
2021-07-22,8930900.000000438,-3289753.1819495326,11552021.60009124,448394.4096999762,-1410079.2655048766,0.0,0.0,247.79665,0.0,0.0,0.0
2021-07-23,10015061.120000435,-3270024.995741507,11551736.425996512,16231.142959053092,951556.2990968816,0.0,0.0,251.54068199999998,0.0,0.0,0.0
2021-07-24,10614271.840001144,-3194878.4322411763,11551451.25190178,151133.78825594025,2269673.82517288,0.0,0.0,253.56672400000005,0.0,0.0,0.0
2021-07-25,11496776.320001159,-3065298.8425872843,11551166.077807054,701810.8011493166,2657445.077364714,0.0,0.0,193.30267600000002,0.0,0.0,0.0
2021-07-26,9573045.280000288,-2883334.9362083566,11550880.903712325,1115972.307369173,-833302.8633850706,0.0,0.0,22.764642000000002,0.0,0.0,0.0
2021-07-27,8504921.60000042,-2652030.6778123043,11550595.729617594,967595.5892723736,-1761398.541223804,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-28,7910079.04000054,-2375336.30526976,11550310.555522865,360520.5294999378,-1873894.5315144325,0.0,0.0,2.8200000000000003,0.0,0.0,0.0
2021-07-29,8176290.240000575,-2058001.3000803436,11550025.381428136,-166731.4735407332,-1410079.2655078536,0.0,0.0,236.09963799999997,0.0,0.0,0.0
2021-07-30,9378752.320000594,-1705452.5262495943,11549740.207333406,-141300.7885612111,951556.2990893018,0.0,0.0,250.14308000000003,0.0,0.0,0.0
2021-07-31,9956015.52000062,-1323661.0391355758,11549455.033238675,408275.7969076609,2269673.825173558,0.0,0.0,220.324182,0.0,0.0,0.0
2021-08-01,11752506.880001333,-919001.24735895,11549169.859143946,982239.4179777072,2657445.077363006,0.0,0.0,322.7032279999999,0.0,0.0,0.0
2021-08-02,8975733.440000607,-498106.1859465524,11548884.685049215,1065590.47419304,-833302.8633844275,0.0,0.0,315.828086,0.0,0.0,0.0
2021-08-03,8157246.240000422,-67722.62783895692,11548599.510954488,577473.2984211378,-1761398.5412218242,0.0,0.0,331.02996799999994,0.0,0.0,0.0
2021-08-04,11656208.640000872,365430.3723380999,11548314.336859755,-94888.61383506516,-1873894.5315099952,0.0,0.0,318.31839599999995,0.0,0.0,0.0
2021-08-05,12090220.480000623,794796.1372559314,11548029.162765028,-482375.0721988965,-1410079.265504687,0.0,0.0,327.333266,0.0,0.0,0.0
