ds,SALES,yearly,trend,monthly,weekly,holidays,PLA_AD_SPEND_PLA,TOA_AD_SPEND_TOA
2021-07-12,30085321.11999663,-8431679.770242177,37788618.451640025,559358.1118177278,-323693.3699699423,0.0,0.0,0.0
2021-07-13,26127311.839997903,-8223952.132398241,37797143.09486531,226241.28457600143,-4360372.110223151,0.0,0.0,0.0
2021-07-14,26819045.119997773,-7925863.043857894,37805667.7380906,385566.1973337301,-5201343.806838408,0.0,0.0,0.0
2021-07-15,28717196.479997005,-7549118.136051947,37814192.38131589,904213.017229424,-5038923.188239166,0.0,0.0,0.0
2021-07-16,30025495.359996676,-7107179.559501344,37822717.02454117,1290214.086971297,-830246.1878667764,0.0,0.0,0.0
2021-07-17,33514808.79999598,-6614881.594135802,37831241.66776646,1142040.9022000993,4672366.529777919,0.0,0.0,0.0
2021-07-18,41829334.559992656,-6088014.347622769,37839766.31099174,521467.056509779,11082212.133351833,0.0,0.0,0.0
2021-07-19,33501483.519995093,-5542886.99884229,37848290.95421703,-84048.12164474618,-323693.3699357411,0.0,0.0,0.0
2021-07-20,28546105.919996973,-4995882.508176804,37856815.59744232,-181588.45389163567,-4360372.110216592,0.0,0.0,0.0
2021-07-21,30317499.679997128,-4463015.852932924,37865340.2406676,289995.6400718063,-5201343.806834491,0.0,0.0,0.0
2021-07-22,30851739.999997046,-3959507.653244489,37873864.883892894,885148.5659632594,-5038923.1882296,0.0,0.0,0.0
2021-07-23,33723626.71999616,-3499384.5380919185,37882389.527118176,1001328.0861341774,-830246.1878696568,0.0,0.0,0.0
2021-07-24,37943317.11999509,-3095116.779034098,37890914.170343466,355172.6947150592,4672366.5297828885,0.0,0.0,0.0
2021-07-25,47286115.83999131,-2757302.614982864,37899438.81356876,-802979.19451633,11082212.133364305,0.0,0.0,0.0
2021-07-26,35538481.27999552,-2494407.3373255893,37907963.45679404,-1883108.7156494465,-323693.36994795775,0.0,0.0,0.0
2021-07-27,30581381.439997025,-2312563.639663749,37916488.10001932,-2365525.4932357105,-4360372.110231333,0.0,0.0,0.0
2021-07-28,30261331.839996796,-2215438.004902393,37925012.74324462,-2094969.806449872,-5201343.806843356,0.0,0.0,0.0
2021-07-29,30739275.519996986,-2204166.053451743,37933537.3864699,-1279743.14480562,-5038923.188244793,0.0,0.0,0.0
2021-07-30,33227698.879996512,-2277357.8616306437,37942062.02969518,-285109.81154100265,-830246.1878876615,0.0,0.0,0.0
2021-07-31,39956847.51999466,-2431172.3324772813,37950586.67292047,561048.6870265806,4672366.529787856,0.0,0.0,0.0
2021-08-01,50274912.47998988,-2659457.815504276,37959111.31614576,1030354.0365413014,11082212.133361489,0.0,0.0,0.0
2021-08-02,36702796.47999463,-2953954.3792987345,37967635.959371045,984812.9283669308,-323693.3699473503,0.0,0.0,0.0
2021-08-03,32488051.999996413,-3304551.490517413,37976160.602596335,415009.4180133445,-4360372.110224776,0.0,0.0,0.0
2021-08-04,26701498.559997737,-3699593.389168857,37984685.245821625,-471716.86659914034,-5201343.806826661,0.0,0.0,0.0
2021-08-05,26578582.879997876,-4126223.212658368,37993209.88904691,-1248107.5671335375,-5038923.188235229,0.0,0.0,0.0
2021-08-06,28152820.63999767,-4570755.942287222,38001734.5322722,-1460296.9541516197,-830246.1878810175,0.0,0.0,0.0
2021-08-07,33294763.199996494,-5019069.551042529,38010259.17549748,-936461.5301369374,4672366.529792826,0.0,0.0,0.0
2021-08-08,42532405.91999319,-5457003.337766031,38018783.81872277,39831.15371669827,11082212.133359572,0.0,0.0,0.0
2021-08-09,31917412.799996253,-5870752.348342941,38027308.46194806,887665.069357291,-323693.3699595658,0.0,0.0,0.0
2021-08-10,28210272.79999754,-6247247.009744422,38035833.10517334,1144066.8915065827,-4360372.110219684,0.0,0.0,0.0
2021-08-11,26218524.31999772,-6574507.628110614,38044357.74839863,812876.9266535194,-5201343.806835526,0.0,0.0,0.0
2021-08-12,25204356.79999813,-6841964.210897598,38052882.39162392,343707.7301782164,-5038923.1882380415,0.0,0.0,0.0
2021-08-13,27992648.639997743,-7040733.140056339,38061407.0348492,240473.95053143208,-830246.187874374,0.0,0.0,0.0
2021-08-14,32835856.15999645,-7163843.516227468,38069931.678074494,626827.7496147881,4672366.529802578,0.0,0.0,0.0
2021-08-15,45031648.47999202,-7206407.475012673,38078456.32129978,1146851.764443395,11082212.13337024,0.0,0.0,0.0
2021-08-16,31462292.479996596,-7165730.401969985,38086980.99733273,1291860.76103915,-323693.36997178145,0.0,0.0,0.0
