ds,SALES,yearly,trend,monthly,weekly,holidays,KPM_COST_EMOD,PLA_AD_SPEND_PLA,TOA_AD_SPEND_TOA,REDEMPTION_COST_LOYAL_CUSTOMER_MAILER
2021-07-29,9046584.46999906,951156.3599404772,8401723.828202821,-712338.014700605,-447991.5311512658,0.0,0.0,205.266336,0.0,0.0
2021-07-30,10842647.369998602,703165.3925249865,8398230.985441765,-810983.2062107484,2181693.912572098,0.0,0.0,247.908508,0.0,0.0
2021-07-31,10642484.04999868,478192.9857716167,8394738.142680706,-502248.4553658455,2100510.564577131,0.0,0.0,369.418764,0.0,0.0
2021-08-01,9572850.519999113,276542.20578431047,8391245.299919648,-51664.34666359054,123021.1694251938,0.0,0.0,205.73195,0.0,0.0
2021-08-02,8087533.479999279,98058.85742975007,8387752.457158592,104112.48006689856,-1532617.582500538,0.0,0.0,202.859316,0.0,0.0
2021-08-03,8401910.209999198,-57832.38817917202,8384259.614397534,-214535.5385631077,-1366010.789066307,0.0,0.0,196.182634,0.0,13.5
2021-08-04,8978824.68999893,-192084.67457761147,8380766.771636475,-712056.4667170611,-1058605.7438596117,0.0,0.0,214.892418,0.0,75.0
2021-08-05,9469665.949998504,-305979.810555831,8377273.928875417,-846500.5035512488,-447991.5311493807,0.0,0.0,216.36651,0.0,207.0
2021-08-06,10971490.479998184,-401074.7319136368,8373781.08611436,-320827.808235125,2181693.912573462,0.0,0.0,214.91537399999999,0.0,334.5
2021-08-07,11119697.219998455,-479145.0573145791,8370288.243353302,613447.1310522716,2100510.5645762766,0.0,0.0,194.32629999999995,0.0,367.5
2021-08-08,10289075.949998707,-542127.2245513377,8366795.400592244,1336628.1050797617,123021.16942434586,0.0,0.0,189.797676,0.0,346.5
2021-08-09,8597149.80999911,-592060.659935789,8363302.557831186,1380094.1885220744,-1532617.582501997,0.0,0.0,206.20240800000002,0.0,246.0
2021-08-10,8463761.13999888,-631031.3651784493,8359809.715070128,821242.2906588864,-1366010.7890676244,0.0,0.0,222.119716,0.0,264.0
2021-08-11,8679560.659998849,-661118.2060347087,8356316.87230907,198372.9279821756,-1058605.7438604126,0.0,0.0,208.12610800000002,0.0,273.0
2021-08-12,8862624.299998827,-684343.0589016447,8352824.029548013,26813.05593491702,-447991.5311481396,0.0,0.0,213.45145800000003,0.0,319.5
2021-08-13,10450261.759998107,-702625.8197690729,8349331.186786955,357961.8312610968,2181693.9125748263,0.0,0.0,204.49515,0.0,294.0
2021-08-14,10542002.699998483,-717745.1092884694,8345838.344025896,773068.1750998378,2100510.564574705,0.0,0.0,204.60294199999998,0.0,264.0
2021-08-15,9297551.759998882,-731305.3233211078,8342345.50126484,796042.5055535177,123021.1694309886,0.0,0.0,212.62907999999996,0.0,234.0
2021-08-16,7647269.609999104,-744710.4854985485,8338852.651514421,329838.3349373448,-1532617.5825034557,0.0,0.0,214.38154200000005,0.0,193.5
2021-08-17,7520353.829999389,-759145.1623913957,8335359.801764005,-280278.80551496183,-1366010.7890677552,0.0,0.0,179.40971,0.0,163.5
2021-08-18,6543824.179999338,-775562.5080798498,8331866.952013588,-588645.7132249232,-1058605.7438607106,0.0,0.0,207.76774,0.0,148.5
2021-08-19,7041148.959999093,-794679.3182254755,8328374.10226317,-452956.449939963,-447991.5311468988,0.0,0.0,188.187028,0.0,118.5
2021-08-20,8228751.489998843,-816977.798754477,8324881.252512752,-122499.73366877742,2181693.9125762307,0.0,0.0,201.62571,0.0,130.5
2021-08-21,8436625.63999902,-842713.5951496109,8321388.402762336,43525.4124014603,2100510.5645801728,0.0,0.0,206.907272,0.0,165.0
2021-08-22,7682814.029999026,-871929.4885421796,8317895.553011918,-73122.8676059692,123021.1694301407,0.0,0.0,207.856054,0.0,144.0
2021-08-23,5907574.84999944,-904474.047353486,8314402.7032615,-275215.70741920866,-1532617.5825018382,0.0,0.0,213.64783,0.0,106.5
2021-08-24,5745003.839999565,-940024.4301178976,8310909.853511084,-302673.08539059607,-1366010.7890678856,0.0,0.0,212.61617999999999,0.0,103.5
2021-08-25,6366962.219999873,-978112.4679848594,8307417.003760666,-132020.84233577776,-1058605.7438615111,0.0,0.0,162.22574200000003,0.0,111.0
2021-08-26,6926884.439999488,-1018153.1146989544,8303924.154010248,-5263.970933544924,-447991.5311533001,0.0,0.0,181.76563199999998,0.0,84.0
2021-08-27,8791858.379999127,-1059474.337682241,8300431.304259831,-158494.93380368938,2181693.912577635,0.0,0.0,170.24842800000002,0.0,105.0
2021-08-28,9251874.619998798,-1101347.5352934245,8296938.454509415,-537937.8762344185,2100510.5645786007,0.0,0.0,116.65606400000001,0.0,151.5
2021-08-29,8372865.789999278,-1143017.6010103757,8293445.604758996,-813547.4215035519,123021.16942804116,0.0,0.0,238.74157799999998,0.0,178.5
2021-08-30,6590030.559999598,-1183731.8130129224,8289952.75500858,-699470.6548250269,-1532617.5825032974,0.0,0.0,102.425268,0.0,105.0
2021-08-31,6446739.479999905,-1222766.8049837206,8286459.905258161,-266410.24234532483,-1366010.7890664958,0.0,0.0,197.411078,0.0,135.0
2021-09-01,6901693.029999617,-1259452.9676789416,8282967.055507745,84889.57417551383,-1058605.7438599104,0.0,0.0,203.63733200000004,0.0,178.5
2021-09-02,7931384.129999113,-1293195.737765502,8279474.205757327,-3722.867189286808,-447991.5311514149,0.0,0.0,186.983212,0.0,168.0
2021-09-03,9860320.379998717,-1323493.346880916,8275981.35600691,-474527.6436025247,2181693.9125789586,0.0,0.0,172.461258,0.0,210.0
2021-09-04,9158314.059998827,-1349950.7262027971,8272488.506256492,-854567.3824149795,2100510.5645777467,0.0,0.0,198.84531600000003,0.0,246.0
2021-09-05,8126606.54999959,-1372289.3863166932,8268995.6565060755,-663726.4615678817,123021.16942594168,0.0,0.0,201.77747999999994,0.0,259.5
2021-09-06,7126207.4299996,-1390353.215238992,8265502.806755658,130752.90510463076,-1532617.5825017265,1460616.223709676,0.0,192.505774,0.0,25.5
2021-09-07,5955385.639999816,-1404110.255719567,8262009.957005241,1040725.5175328454,-1366010.7890681466,0.0,0.0,165.373564,0.0,12.0
2021-09-08,6058032.229999665,-1413650.6332726064,8258517.107254825,1452973.03767563,-1058605.7438607109,0.0,0.0,182.33719799999997,0.0,18.0
2021-09-09,6290596.839999578,-1419180.906081289,8255024.257504405,1148523.7212296005,-447991.531150818,0.0,0.0,190.03724400000002,0.0,6.0
