ds,SALES,yearly,trend,monthly,weekly,holidays,PLA_AD_SPEND_PLA,REDEMPTION_COST_LOYAL_CUSTOMER_MAILER
2021-08-10,20327462.55999188,760872.2508941109,18884923.46132918,-615509.5299641815,-1754756.964362946,0.0,398.8,492.0
2021-08-11,19299057.119993314,652876.6705922481,18867469.43244501,-453459.1760026461,-1413705.413055198,0.0,401.79999999999995,468.75
2021-08-12,19582829.279992905,560814.5561197301,18850015.40356083,-399550.0001246711,-1656353.9621076153,0.0,428.59999999999997,448.5
2021-08-13,21540545.119991157,488057.0347278606,18832561.37467665,-393357.24670824106,640882.5183494989,0.0,434.6,503.25
2021-08-14,24605252.79998967,437361.9057614706,18815107.345792472,-367551.1884465622,2979877.3627550662,0.0,447.5999999999999,565.5
2021-08-15,27926397.59998863,410762.3413083776,18797653.316908296,-317885.9167090607,3239885.3072473006,0.0,459.5999999999999,603.0
2021-08-16,21330207.35999188,409477.5637558386,18775985.547664236,-296185.76674684766,-2035828.848812798,0.0,382.19999999999993,374.25
2021-08-17,21830786.7199912,433848.73635464266,18754317.778420173,-326851.38831057947,-1754756.9643630856,0.0,380.1,324.0
2021-08-18,25132710.879982226,483302.5303487057,18732650.00917611,-329997.4011586317,-1413705.4130548306,0.0,411.0,399.75
2021-08-19,25669067.1999823,556343.9746288273,18710982.239932053,-142499.5894958297,-1656353.9621086894,0.0,148.0,359.25
2021-08-20,27306692.959977753,650579.2775014933,18689314.47068799,355210.9129257267,640882.5183489914,0.0,71.8,414.75
2021-08-21,31150405.119975485,762768.3631039568,18667646.701443933,1103000.1605328564,2979877.362745947,0.0,105.99999999999997,450.0
2021-08-22,35464774.55997164,888905.9166531097,18645978.93219987,1839456.3755687892,3239885.307244508,0.0,110.8,502.5
2021-08-23,25421083.039982084,1024328.8125817516,18624311.16295581,2236121.876550509,-2035828.848812492,0.0,103.00000000000001,322.5
2021-08-24,23159432.319985796,1163846.9366375543,18602643.393711757,2101413.7961122715,-1754756.964363225,0.0,86.80000000000001,354.75
2021-08-25,23187161.11998607,1301893.6344943675,18580975.62446769,1505251.4906096049,-1413705.4130583685,0.0,107.60000000000001,270.75
2021-08-26,24089581.759985264,1432691.350382543,18559307.855223622,732772.5695726718,-1656353.962109929,0.0,108.0,300.0
2021-08-27,26104955.83998111,1550427.4813231332,18537640.08597957,105472.04139142732,640882.5183484838,0.0,110.60000000000002,327.0
2021-08-28,29243167.839975856,1649435.083799227,18515972.31673551,-197734.1272925512,2979877.362749105,0.0,95.6,329.25
2021-08-29,32242798.399973985,1724372.8433976336,18494304.547491446,-202135.17923915552,3239885.307241854,0.0,122.80000000000003,368.25
2021-08-30,22056381.759987913,1770398.6628804363,18472636.77824739,-65896.69124671051,-2035828.8488162265,0.0,85.00000000000001,336.0
2021-08-31,20883992.639988504,1783331.3434960714,18450969.009003326,43725.80720721572,-1754756.9643595864,0.0,87.60000000000001,307.5
2021-09-01,16866691.199993663,1759795.1262971584,18429301.239759263,31509.68847559996,-1413705.4130523298,0.0,51.80000000000001,312.75
2021-09-02,17619906.239991855,1697342.3176296707,18407633.47051521,-119821.250177342,-1656353.962106153,0.0,32.8,295.5
2021-09-03,20271504.479988966,1594549.8332098932,18385965.701271147,-381900.4749923542,640882.5183558794,0.0,33.0,371.25
2021-09-04,22568174.07998727,1451086.2415308114,18364297.932027083,-701074.252457809,2979877.3627499933,0.0,34.0,380.25
2021-09-05,21415910.8799884,1267746.7479782584,18342630.162783027,-998073.921327088,3239885.307239199,0.0,35.00000000000001,437.25
2021-09-06,19367876.79998965,1046454.5111227612,18320962.393538967,-1178070.1716559264,-2035828.8488059668,5087141.077649008,36.0,53.25
2021-09-07,14184916.959995482,790227.6939626426,18299294.624294903,-1173214.1982340503,-1754756.9643635044,0.0,34.0,16.5
2021-09-08,15622059.99999338,503112.695386915,18277626.855050847,-993576.9784881696,-1413705.413055868,0.0,35.2,22.5
2021-09-09,16873808.31999186,190085.0492364645,18255959.085806783,-734777.3769175238,-1656353.9621120773,0.0,33.8,10.5
2021-09-10,18064074.87999232,-143079.51146440173,18234291.316562727,-519833.3131401757,640882.5183553717,0.0,30.999999999999996,24.0
2021-09-11,20456244.159990214,-489960.3804495878,18212623.547318663,-415532.8359674946,2979877.362745413,0.0,31.799999999999997,19.5
2021-09-12,24326341.919985432,-843669.4949921813,18190955.778074604,-395598.94071665534,3239885.3072365443,0.0,33.0,0.0
2021-09-13,17861579.199989554,-1197045.8089256575,18169288.00883054,-385049.1299760784,-2035828.8488097012,0.0,30.999999999999996,0.0
2021-09-14,15781205.279993191,-1542861.1949907916,18147620.239586484,-343032.3463499766,-1754756.9643638334,0.0,34.0,0.0
2021-09-15,15437780.319992196,-1874031.719771169,18125952.470342424,-300168.5166842999,-1413705.4130546171,0.0,34.2,0.0
2021-09-16,16003514.07999249,-2183827.981936538,18104284.70109836,-307145.15022698714,-1656353.9621083017,0.0,34.0,0.0
2021-09-17,17348186.079991635,-2466078.1388929705,18082616.9318543,-341222.997935932,640882.518344803,0.0,31.799999999999997,0.0
2021-09-18,19788511.83998983,-2715357.372413517,18060949.16261024,-270459.1945361726,2979877.362744032,0.0,33.0,0.0
2021-09-19,23080993.11998687,-2927157.858721361,18039281.393366184,66074.23028193405,3239885.307233752,0.0,31.8,0.0
2021-09-20,16492917.27999274,-3098033.80577154,18017613.62412212,710362.4391189461,-2035828.8488093952,0.0,34.2,0.0
2021-09-21,15589657.599993486,-3225716.7871220126,17995945.85487806,1494011.0993595305,-1754756.964360195,0.0,30.599999999999998,0.0
2021-09-22,14461811.199995337,-3309197.4201119007,17974278.085633997,2097639.860458125,-1413705.41305425,0.0,32.8,0.0
2021-09-23,15056984.95999499,-3348770.3832392534,17952610.31638994,2237294.0978164733,-1656353.962109375,0.0,28.4,0.0
2021-09-24,15635882.079994183,-3346040.817046228,17930942.547145884,1846514.8083375515,640882.5183482465,0.0,30.6,0.0
2021-09-25,17983898.71999269,-3303891.2744908603,17909274.77790182,1119346.9471817613,2979877.36274719,0.0,30.799999999999997,0.0
2021-09-26,20999662.399990257,-3226409.5481441687,17887607.008657757,384986.7420047773,3239885.307231236,0.0,34.0,0.0
2021-09-27,14873827.679995984,-3118778.868811124,17865939.239413697,-89534.51384901283,-2035828.8488131296,0.0,31.800000000000004,0.0
2021-09-28,14083923.039995465,-2987133.1087027453,17844271.47016964,-229049.77469278013,-1754756.964360334,0.0,30.6,0.0
2021-09-29,13370256.959996304,-2838380.698253425,17822603.700925577,-140025.75244250236,-1413705.4130529996,0.0,25.599999999999998,0.0
2021-09-30,14061044.479996482,-2680001.9465400195,17800935.931681514,280.6473630473046,-1656353.962105599,0.0,26.999999999999996,0.0
2021-10-01,15396107.999994949,-2519825.3110884707,17779268.162437458,55414.97795869248,640882.5183516899,0.0,79.80000000000001,0.0
