ds,SALES,yearly,trend,monthly,weekly,holidays,PLA_AD_SPEND_PLA,TOA_AD_SPEND_TOA,REDEMPTION_COST_LOYAL_CUSTOMER_MAILER
2021-10-01,5308289.600000425,-173231.92460900854,6279579.563619442,-73605.83099179121,97713.5866500908,0.0,0.0,0.0,830.4000000000002
2021-10-02,5703142.560000251,-216171.57898563475,6275044.189987117,-227551.33536342645,525748.1432508936,0.0,0.0,0.0,1004.8000000000001
2021-10-03,7767239.83999867,-252292.47658394277,6270508.8163547935,-372550.1249038612,1434972.7415335472,0.0,0.0,0.0,1011.2
2021-10-04,5654279.519999897,-280671.44233621674,6265973.44272247,-426800.8116069945,-173341.64312955504,0.0,0.0,0.0,895.9999999999998
2021-10-05,5020576.160000195,-300667.24582285504,6261438.069090145,-377734.1223776421,-569885.8677663825,0.0,0.0,0.0,835.1999999999997
2021-10-06,4703879.040000385,-311939.1209901184,6256902.695457821,-267273.1667616412,-696279.1867892018,0.0,0.0,0.0,1064.0
2021-10-07,4794609.440000126,-314455.9013948749,6252367.321825497,-137852.14925257396,-618927.773751135,0.0,12.0,0.0,1063.9999999999995
2021-10-08,5062752.639999876,-308495.5777074904,6247831.948193173,6827.088656201276,97713.58664636045,0.0,391.0,0.0,924.8000000000001
2021-10-09,5201617.439999672,-294635.3675658734,6243296.574560848,190698.59578658204,525748.1432506589,0.0,332.0,0.0,905.6000000000001
2021-10-10,6615477.119998004,-273732.66682202613,6238761.200928524,418707.8889615696,1434972.741533122,0.0,298.0,0.0,907.2
2021-10-11,5337162.879999345,-246897.51764820248,6234225.8272962,644064.2143418286,-173341.64312518318,198204.14165022867,182.0,0.0,835.2
2021-10-12,4769324.15999986,-215457.4752008079,6229690.453663875,785593.6728162047,-569885.8677670574,0.0,235.0,0.0,796.8
2021-10-13,4548664.000000126,-180915.97347042596,6225155.080031552,783821.5027035972,-696279.1867861704,0.0,254.0,0.0,819.1999999999999
