ds,SALES,yearly,trend,monthly,weekly,holidays,PLA_AD_SPEND_PLA,TOA_AD_SPEND_TOA
2021-07-20,1543546.560000015,-127236.79453273898,1936002.3004844645,11004.050582330618,-161998.6216682929,0.0,73.19999999999999,0.0
2021-07-21,1573141.1200001093,-116558.18584335058,1935829.1265064,42624.10391176306,-161766.8531211684,0.0,78.19999999999999,742.224
2021-07-22,1834049.4400001438,-106111.64765610038,1935655.9525283352,98927.71855631575,21865.155765893534,0.0,73.2,1033.2559999999999
2021-07-23,1936121.6000002061,-96172.10911678385,1935482.7785502705,155585.50978977248,127939.53105323573,0.0,38.2,835.24
2021-07-24,2029634.080000328,-86999.5867341638,1935309.604572206,173262.50373905158,238995.16376316687,0.0,21.6,876.372
2021-07-25,1976218.8800000376,-78831.12301034926,1935136.430594141,125855.26919393802,86474.95693597871,0.0,42.300000000000004,1061.5639999999999
2021-07-26,1708160.3200000338,-71873.43553802828,1934963.2566160767,25638.03980288623,-151509.3327284132,0.0,0.0,348.32000000000005
2021-07-27,1549596.4800000156,-66296.50543449144,1934790.0826380115,-77982.77165690684,-161998.6216681171,0.0,0.0,0.0
2021-07-28,1713363.8400000434,-62228.3052057266,1934616.9086599476,-129384.98277244442,-161766.85312108442,0.0,0.0,2.6880000000000006
2021-07-29,1809720.9600001555,-59750.83113220941,1934443.7346818824,-105261.0403972843,21865.155765887444,0.0,14.2,302.988
2021-07-30,2000046.8800002285,-58897.565116115424,1934270.5607038175,-30637.13674345521,127939.531052761,0.0,29.1,237.72
2021-07-31,2103362.880000186,-59652.4468499867,1934097.386725753,40405.45525366845,238995.1637630865,0.0,20.1,371.812
2021-08-01,1976038.56000022,-61950.390503946095,1933924.2127476884,63703.26939703912,86474.95693586832,0.0,59.1,575.7640000000001
2021-08-02,1751323.040000107,-65679.33232237922,1933751.038769624,32984.364523282435,-151509.33272878735,0.0,53.7,274.092
