ds,SALES,yearly,trend,monthly,weekly,holidays,KPM_COST_EMOD,PLA_AD_SPEND_PLA,TOA_AD_SPEND_TOA,REDEMPTION_COST_LOYAL_CUSTOMER_MAILER,REDEMPTION_COST_MY_MAGAZINE
2021-06-19,141000936.0198941,-8323755.333841758,161568777.31483456,145819.65131569735,19376982.231263157,0.0,0.0,2252.285058,1211.0000000000002,0.0,0.0
2021-06-20,132298971.83991149,-4143580.8940591007,161566229.7384562,4184499.607760389,26113932.82189274,0.0,0.0,2233.816698,1217.748,0.0,0.0
2021-06-21,125770097.75991184,-60567.90505727143,161563682.1620778,9182653.976305513,-7446433.805960072,0.0,0.0,3577.412602,1223.5720000000001,0.0,0.0
2021-06-22,119656315.4099217,3832242.1054415,161561134.58569944,14462986.94718304,-15377554.781972544,0.0,0.0,3507.1351680000002,1201.0319999999997,0.0,0.0
2021-06-23,155724742.30989888,7447556.469619551,161558587.00932106,17693249.27175009,-16233088.81084844,0.0,0.0,3512.50362,1208.704,0.0,0.0
2021-06-24,161689103.7398973,10705980.661211718,161556039.43294266,15874888.817915045,-14654980.068616211,0.0,0.0,3551.7215399999995,1208.9559999999997,0.0,0.0
2021-06-25,172662182.3398901,13537928.8373565,161553491.85656428,7951893.952334498,8221142.414213636,0.0,0.0,3514.9652379999998,1205.9319999999998,0.0,0.0
2021-06-26,175688216.9698722,15885245.964073984,161550944.2801859,-3159065.3712650505,19376982.231270943,0.0,0.0,3464.0262340000004,1190.6999999999998,0.0,0.0
2021-06-27,193853208.4898892,17702500.475740608,161548396.70380753,-11429391.88047915,26113932.821865316,0.0,0.0,3532.288928000001,999.2080000000001,0.0,0.0
2021-06-28,166267299.05993003,18957916.14501145,161545849.12742916,-11526457.745850887,-7446433.805902403,-29539251.32788873,0.0,3534.1108459999996,991.3960000000001,31.5,0.0
2021-06-29,160600059.92990965,19633922.372441977,161543301.55105078,-2862710.1900335504,-15377554.782019377,0.0,0.0,4165.958364,986.048,72.0,0.0
2021-06-30,163712054.22990474,19727313.13537795,161510499.97924235,9485447.99461314,-16233088.810876029,0.0,0.0,5091.099658,985.292,512.75,0.0
2021-07-01,182494210.5398457,19249016.037884925,161477698.40743396,18058110.53791436,-14654980.068617703,0.0,0.0,8084.576878,989.548,1346.25,0.0
2021-07-02,201785864.09981585,18223483.9514838,161444896.83562556,18123536.519785967,8221142.4142353665,0.0,0.0,8209.005792,985.068,2274.75,0.0
2021-07-03,193838294.95001668,16687732.309868312,161412095.2638171,10672045.3703644,19376982.23123428,0.0,0.0,6043.802755999998,974.2040000000002,1994.25,0.0
2021-07-04,143401198.26991838,14690054.915964792,161379293.6920087,1063735.832179563,26113932.82185981,0.0,0.0,4051.62218,967.6520000000002,1270.75,0.0
2021-07-05,157634871.8399135,12288459.856753385,161346492.1202003,-5335156.747483543,-7446433.805913741,-3043417.0858051046,0.0,6230.340528,9.883999999999999,1284.0,0.0
2021-07-06,161798688.5099157,9548874.556018883,161313690.54839188,-6867057.778501433,-15377554.781994758,0.0,0.0,3019.8175440000005,0.0,1396.0,0.0
2021-07-07,157669375.3699614,6543174.919487567,161280888.97658348,-5840480.912323828,-16233088.81086514,0.0,0.0,1680.043702,0.0,1574.75,0.0
2021-07-08,161416440.96986836,3347097.7839739253,161248087.40477508,-5646593.582653606,-14654980.068619194,0.0,0.0,1674.682958,0.0,1568.75,0.0
