ds,SALES,yearly,trend,monthly,weekly,holidays,PLA_AD_SPEND_PLA,TOA_AD_SPEND_TOA
2021-10-07,178647123.5195039,53931715.04329632,152833757.93511415,1118714.9607863112,-8449551.071776284,0.0,1504.3955850000002,0.0
2021-10-08,159400973.7597179,63167313.72770616,152844580.61940575,3067332.817922555,-1373384.135992469,0.0,1463.2014199999999,0.0
2021-10-09,166458142.8797343,73079578.07383543,152855403.30369732,5899575.951454547,7867677.253925687,0.0,1458.4138629999998,0.0
2021-10-10,192316880.95976385,83561566.72154011,152866225.9879889,10652783.271136424,17797804.00630286,0.0,1473.576153,0.0
2021-10-11,149707695.51999032,94483971.74513143,152877048.6722805,17010884.788281754,3762790.639644824,-128106978.74101196,1434.2938159999999,0.0
2021-10-12,146839816.31998572,105697096.06988364,152887871.35657206,23146593.379165918,-7585329.755344795,0.0,1438.721804,0.0
2021-10-13,364244685.1199257,117033477.56974924,152898694.04086366,26748574.607638232,-12020006.936754126,0.0,1553.8219820000002,670.85777
2021-10-14,394834107.35990924,128311112.30848747,152909516.72515523,26501898.39409833,-8449551.071778955,0.0,1538.8341349999998,835.1406799999999
2021-10-15,421224807.8398945,139337210.9582533,152920339.40944684,22888774.680989105,-1373384.1359726822,0.0,1563.638756,799.6430499999998
2021-10-16,418907747.35989714,149912405.3835098,152931162.0937384,17737144.39765601,7867677.253939838,0.0,1531.005166,874.2801999999999
2021-10-17,437641854.5598821,159835307.23511708,152941984.77803,12962745.4991399,17797804.006300732,0.0,1567.323599,888.54937
2021-10-18,414862109.9198903,168907307.631673,152952807.46232158,9527140.12130218,3762790.6396339615,0.0,1523.4087379999999,701.1027300000002
2021-10-19,411670291.359907,176937497.0339162,152963630.14661318,7305218.660504212,-7585329.75530712,0.0,1516.3218399999998,684.9502500000001
2021-10-20,371335540.9599094,183747577.5838928,152974452.83090475,5693709.963559948,-12020006.936762257,0.0,1507.6341,740.30065
2021-10-21,393950241.2799006,189176636.74587905,152985275.51519635,4220018.479785026,-8449551.07177909,0.0,1505.960774,2162.52817
2021-10-22,394607570.2398955,193085651.2223816,152996098.19948795,2611842.761842335,-1373384.135974386,0.0,1520.9948150000002,2173.9873199999997
2021-10-23,420184313.5998958,195361593.89173183,153006920.88377953,475597.15973422624,7867677.253947561,0.0,1504.8017939999997,2246.14514
2021-10-24,440674218.7198692,195921023.89845288,153017743.5680711,-2828032.430541911,17797804.006300285,0.0,1498.5810669999998,2281.09847
2021-10-25,408055891.0398879,194713050.8854191,153028566.25236267,-7770084.321622221,3762790.6396181863,0.0,1451.3036190000003,2453.17477
2021-10-26,417789579.35989034,191721578.4557962,153039388.93665427,-14014737.175776852,-7585329.75532572,0.0,1450.8238769999998,2226.8754200000008
2021-10-27,137467805.75998893,186966748.96334764,153050211.62094587,-20232720.24641021,-12020006.936770389,0.0,1397.072461,1382.7662599999999
2021-10-28,131214289.75998811,180505531.2335205,153061034.30523744,-24705729.779778257,-8449551.071779225,0.0,1391.8536220000003,1261.8690299999998
2021-10-29,133700354.23999098,172431414.32321534,153071856.98952904,-26326357.76052883,-1373384.1359653436,0.0,1415.649502,1262.3403799999999
2021-10-30,153947773.1199862,162873193.3735168,153082679.6738206,-25187682.22687014,7867677.253904695,0.0,1410.880375,1266.5391100000002
2021-10-31,169141885.91997916,151992857.39321494,153093502.3581122,-22293695.56810003,17797804.006298155,0.0,1417.726291,1274.74911
2021-11-01,164615106.87997758,139982612.787883,153104325.0424038,-18702062.265251603,3762790.63961224,0.0,1406.812152,1273.68094
2021-11-02,162844272.47997922,127061099.96829765,153115147.72669536,-14889289.891863463,-7585329.755324928,0.0,1393.811735,1266.4265800000003
2021-11-03,235528633.27991855,113468882.77706426,153125970.41098696,-10847003.440790543,-12020006.93676596,0.0,1468.3165889999998,1258.2120999999997
2021-11-04,238068304.3199708,99463311.13450716,153136793.09527856,-6660247.9839167455,-8449551.07179483,0.0,1482.8178159999995,1263.35552
2021-11-05,236072371.67995414,85312875.63141093,153147615.77957013,-2839072.541068528,-1373384.135967047,0.0,1446.161693,1254.1441999999997
2021-11-06,257480469.91994786,71291188.2508787,153158438.4638617,42461.89214612936,7867677.253912416,0.0,1463.297065,1252.46426
2021-11-07,298339182.39992183,57670735.51997796,153169261.1481533,2073148.039378494,17797804.00629602,0.0,1356.518961,1280.72722
2021-11-08,242726216.47994593,44716558.796674326,153180083.83244488,4286607.065684485,3762790.639596465,37346807.78795853,1529.2193829999999,1323.41846
2021-11-09,228477639.1999509,32680020.804580085,153190906.51673648,8015975.569523889,-7585329.755333833,0.0,1509.4846860000002,1316.9764200000002
2021-11-10,219668532.48006496,21792817.76664204,153201729.20102808,13717105.13026094,-12020006.936770167,0.0,1518.500365,1316.73061
2021-11-11,227113500.0000597,12261392.488972047,153212551.88531965,20257660.69506697,-8449551.07178203,0.0,1501.7749520000002,1314.1433100000002
2021-11-12,227430958.88007277,4261895.567835402,153223374.56961125,25384993.990647536,-1373384.135947259,0.0,1526.5862350000002,1288.31349
2021-11-13,249171824.80007455,-2064170.3041174216,153234197.25390282,27119096.07680128,7867677.253926568,0.0,1534.796492,1306.54747
2021-11-14,283411589.9200592,-6613503.889203917,153245019.9381944,25020280.75473451,17797804.00630373,0.0,1527.9019779999999,1317.83616
2021-11-15,247193368.480062,-9323657.05484343,153255842.622486,20371817.079173505,3762790.63965158,0.0,1516.340009,1312.58391
2021-11-16,228674188.00006527,-10174706.925254198,153266665.30677757,15213781.64532936,-7585329.755342737,0.0,1526.2162170000001,1285.1038099999998
2021-11-17,127910860.47998945,-9189895.40689583,153277487.99106917,11065039.99068946,-12020006.936765742,0.0,1508.1659020000002,1304.7779
2021-11-18,128230759.1999912,-6435209.112088083,153288310.67536077,8300052.361482918,-8449551.0717951,0.0,1490.5574499999998,1299.20767
2021-11-19,128596492.31999363,-2017899.852143188,153299133.35965234,6459634.95781261,-1373384.1359489628,0.0,1481.3030239999998,1307.28221
2021-11-20,137509927.03999004,3916026.699643791,153309956.0439439,4958182.485586983,7867677.253934291,0.0,720.53478,381.93104
2021-11-21,151700014.39998922,11185299.59864413,153320778.72823548,3450607.5414347253,17797804.0063016,0.0,1494.196496,1315.1797600000002
