ds,SALES,yearly,trend,monthly,weekly,holidays,KPM_COST_CBA,KPM_COST_EMOD,PLA_AD_SPEND_PLA,TOA_AD_SPEND_TOA,REDEMPTION_COST_LOYAL_CUSTOMER_MAILER
2021-11-12,26221884.159998976,-668179.8105941444,28275068.436053928,438448.57709911576,2840660.531148116,0.0,0.0,0.0,277.892386,0.0,3861.429999999999
2021-11-13,30209145.759998698,-1001301.479834109,28280702.826473523,-233836.37050374012,5481025.431236003,0.0,0.0,0.0,327.422268,0.0,4478.65
2021-11-14,33751925.91999887,-1361221.8757239266,28286337.216893114,-740477.8214499346,5513520.605429589,0.0,0.0,0.0,384.74587999999994,0.0,3709.77
2021-11-15,26034940.15999933,-1737992.2156366487,28291971.607312705,-621392.666620908,-2481118.2531228936,0.0,0.0,0.0,314.865384,0.0,3418.139999999999
2021-11-16,23788638.719999265,-2121165.34565534,28297605.997732297,-256086.2652445204,-3810760.5123552782,0.0,0.0,0.0,264.874836,0.0,3037.099999999999
2021-11-17,21877456.47999864,-2500116.702525177,28303240.388151888,-445696.0299488228,-3956593.1062549073,0.0,0.0,0.0,306.880892,0.0,2492.15
2021-11-18,22255171.679998457,-2864367.297133099,28308874.77857148,-1436002.4068317856,-3586734.6960654594,0.0,0.0,0.0,364.39033600000005,0.0,2410.4500000000003
2021-11-19,23977054.71999832,-3203899.6741365283,28314509.16899107,-2422149.204614374,2840660.5311492085,0.0,0.0,0.0,348.668674,0.0,3014.45
2021-11-20,27717653.279997487,-3509458.0579453646,28320143.559410665,-2157677.436187649,5481025.431237165,0.0,0.0,0.0,203.34331200000003,0.0,2889.7999999999997
2021-11-21,28287630.079997737,-3772824.390827269,28325777.949830256,-189911.27610359012,5513520.605427652,0.0,0.0,0.0,385.65868599999993,0.0,2851.7000000000003
2021-11-22,25360977.599997938,-3987062.689744688,28331412.340249848,2461122.216737956,-2481118.2531312318,3880355.914087903,0.0,0.0,356.566554,0.0,2035.9499999999998
2021-11-23,26392407.99999766,-4146725.0736326342,28337046.73066944,3936976.585416356,-3810760.512357505,0.0,0.0,0.0,293.135914,0.0,2645.3500000000004
2021-11-24,29463559.3599973,-4248013.915955082,28342681.12108903,3037914.108389043,-3956593.106261253,0.0,0.0,0.0,166.641342,0.0,1752.4500000000005
2021-11-25,15006020.639997713,-4288895.827043065,28348315.51150862,276983.9841860087,-3586734.696057886,0.0,0.0,0.0,113.19517199999997,0.0,539.0
2021-11-26,17538210.239999402,-4269164.532034129,28353949.90192821,-2479677.397202606,2840660.5311295805,0.0,0.0,0.0,167.23645799999997,0.0,1641.8500000000004
2021-11-27,20813318.23999861,-4190451.14491354,28359584.292347807,-3504868.374312377,5481025.431238327,0.0,0.0,0.0,281.256662,0.0,1794.2000000000003
2021-11-28,26520766.39999827,-4056181.8074229048,28365218.6827674,-2534996.2674499266,5513520.605422836,0.0,0.0,0.0,352.9917920000001,0.0,2538.3
2021-11-29,22527583.67999872,-3871484.122647499,28370853.07318699,-791648.4664684787,-2481118.253127373,0.0,0.0,0.0,286.87373399999996,0.0,1701.3
2021-11-30,21690291.679998517,-3643045.226707918,28376487.46360658,242938.36518805448,-3810760.512351624,0.0,0.0,0.0,356.64440199999996,0.0,2142.6
2021-12-01,21260125.439998254,-3378925.6693118205,28382121.85402617,130014.9952806741,-3956593.106251838,0.0,0.0,0.0,416.26607199999995,0.0,2945.0
2021-12-02,21334638.07999872,-3088334.4786522067,28387756.244445764,-314015.965941834,-3586734.696050313,0.0,0.0,0.0,419.851012,0.0,2241.9500000000003
2021-12-03,22771670.71999862,-2781371.8358165566,28393390.634865355,-186.96377244104795,2840660.5311351926,0.0,0.0,0.0,432.239598,0.0,3086.2500000000005
2021-12-04,27494380.319998384,-2468746.649903959,28399025.02528495,1268259.2385575648,5481025.4312394895,0.0,0.0,0.0,482.335896,0.0,3680.1
2021-12-05,31691276.799998824,-2161476.984879745,28404659.415704545,2575132.320290161,5513520.605418019,0.0,0.0,0.0,551.0113459999999,0.0,3672.4999999999995
2021-12-06,23439943.999998298,-1870581.7251636933,28410293.80612413,2786549.9127509966,-2481118.25313571,0.0,0.0,0.0,455.727334,0.0,930.2000000000003
2021-12-07,23095370.8799996,-1606772.0686276606,28415928.19654373,1656529.880381577,-3810760.512359858,0.0,0.0,0.0,351.06209,0.0,819.9000000000001
2021-12-08,36858968.32000791,-1380151.398421093,28421562.586963315,68088.15224817746,-3956593.106258183,0.0,0.0,0.0,423.4802699999999,0.0,989.5
2021-12-09,40931248.96000529,-1199931.8112524543,28427196.977382906,-795668.106144532,-3586734.696049972,0.0,0.0,0.0,394.674732,0.0,984.9000000000001
2021-12-10,47036225.43999899,-1074175.0785315705,28432831.367802497,-519953.2340532128,2840660.531140804,0.0,0.0,0.0,358.50663799999995,0.0,1212.5
2021-12-11,51398431.199996315,-1009565.1028666334,28438465.758222096,260334.0641849957,5481025.431234021,0.0,0.0,0.0,377.14789600000006,0.0,1090.1
2021-12-12,53810939.83999796,-1011218.027209536,28444100.148641683,585811.5909721224,5513520.605436118,0.0,0.0,0.0,517.337938,0.0,954.0
2021-12-13,40208305.600004405,-1082535.08342483,28449734.53906128,133212.45877605985,-2481118.253144047,0.0,0.0,0.0,354.15423799999996,0.0,571.5
2021-12-14,38458355.200002566,-1225102.0618420702,28455368.929480866,-554065.5430682758,-3810760.5123539777,0.0,0.0,0.0,228.79774599999996,0.0,634.5
2021-12-15,30077026.40000482,-1438637.9778956082,28461003.319900464,-755078.7800260271,-3956593.106256015,0.0,0.0,0.0,202.507066,0.0,535.5
2021-12-16,30194278.560004547,-1720994.1427641767,28466637.710320048,-418232.9001288301,-3586734.69604963,0.0,0.0,0.0,164.95922600000003,0.0,531.0
2021-12-17,30999620.800003737,-2068203.450685896,28472272.100739647,-242438.53610943668,2840660.5311418963,0.0,0.0,0.0,201.78396800000002,0.0,715.5
2021-12-18,35521476.00000613,-2474578.3150282167,28477906.491159234,-868107.1958218629,5481025.431234272,0.0,0.0,0.0,204.85881799999999,0.0,697.5
2021-12-19,35893255.360006794,-2932854.3565480346,28483540.88157883,-2011244.728793511,5513520.60543418,0.0,0.0,0.0,204.56414600000002,0.0,666.0
2021-12-20,34672183.520006165,-3434375.707214197,28489175.27199842,-2506756.924684613,-2481118.253140189,15217293.17467011,0.0,0.0,202.18765199999999,0.0,724.5
2021-12-21,35549491.84000598,-3969316.675294556,28494809.66241801,-1356756.356759296,-3810760.512356205,0.0,0.0,0.0,203.362166,0.0,540.0
2021-12-22,40040825.12000661,-4526933.552549951,28500444.0528376,1162852.2529787158,-3956593.106253847,0.0,0.0,0.0,197.04678800000002,0.0,603.0
